Date,Clicks,Average Cost-per-click,Total Spend
11-May-17,59,0.53,$31.11 
12-May-17,60,0.43,$26.06 
13-May-17,75,0.41,$30.99 
14-May-17,69,0.46,$31.45 
15-May-17,56,0.4,$22.17 
16-May-17,24,0.36,$8.69 
17-May-17,19,0.36,$6.88 
18-May-17,24,0.37,$8.89 
19-May-17,23,0.36,$8.36 
20-May-17,33,0.36,$11.75 
21-May-17,25,0.28,$6.93 
22-May-17,30,0.39,$11.60 
23-May-17,36,0.3,$10.92 
24-May-17,14,0.28,$3.91 
25-May-17,25,0.42,$10.45 
26-May-17,85,0.45,$38.08 
27-May-17,107,0.43,$45.87 
28-May-17,116,0.4,$46.91 
29-May-17,120,0.41,$48.99 
30-May-17,83,0.4,$32.85 
31-May-17,70,0.44,$31.07 
1-Jun-17,55,0.43,$23.86 
2-Jun-17,72,0.39,$28.31 
3-Jun-17,97,0.38,$36.58 
4-Jun-17,104,0.36,$37.87 
5-Jun-17,83,0.39,$32.68 
6-Jun-17,102,0.34,$34.29 
7-Jun-17,60,0.33,$20.04 
8-Jun-17,30,0.34,$10.25 
9-Jun-17,52,0.36,$18.82 
10-Jun-17,101,0.35,$35.80 
11-Jun-17,103,0.39,$39.69 
12-Jun-17,99,0.37,$36.97 
13-Jun-17,84,0.39,$32.77 
14-Jun-17,78,0.4,$31.36 
15-Jun-17,70,0.43,$29.87 
16-Jun-17,75,0.38,$28.52 
17-Jun-17,77,0.36,$27.34 
18-Jun-17,89,0.35,$31.47 
19-Jun-17,93,0.38,$35.27 
20-Jun-17,41,0.33,$13.58 
21-Jun-17,40,0.4,$15.89 
22-Jun-17,37,0.4,$14.88 
23-Jun-17,55,0.4,$22.19 
24-Jun-17,58,0.38,$22.10 
25-Jun-17,74,0.36,$26.67 
26-Jun-17,57,0.34,$19.65 
27-Jun-17,52,0.38,$19.91 
28-Jun-17,40,0.48,$19.08 
29-Jun-17,35,0.39,$13.55 
30-Jun-17,34,0.4,$13.47 
1-Jul-17,53,0.4,$21.33 
2-Jul-17,63,0.41,$25.59 
3-Jul-17,50,0.39,$19.49 
4-Jul-17,68,0.39,$26.45 
5-Jul-17,63,0.37,$23.38 
6-Jul-17,44,0.41,$17.90 
7-Jul-17,31,0.37,$11.47 
8-Jul-17,50,0.39,$19.42 
9-Jul-17,41,0.37,$14.97 
10-Jul-17,42,0.38,$16.12 
11-Jul-17,43,0.38,$16.30 
12-Jul-17,34,0.33,$11.21 
13-Jul-17,47,0.4,$18.87 
14-Jul-17,50,0.45,$22.73 
15-Jul-17,60,0.37,$22.09 
16-Jul-17,85,0.38,$32.54 
17-Jul-17,82,0.41,$33.59 
18-Jul-17,71,0.39,$27.49 
19-Jul-17,61,0.41,$24.88 
20-Jul-17,49,0.4,$19.37 
21-Jul-17,36,0.38,$13.79 
22-Jul-17,67,0.4,$27.02 
23-Jul-17,67,0.37,$24.73 
24-Jul-17,54,0.38,$20.25 
25-Jul-17,46,0.37,$17.21 
26-Jul-17,57,0.33,$19.07 
27-Jul-17,57,0.34,$19.58 
28-Jul-17,49,0.41,$19.89 
29-Jul-17,59,0.34,$20.03 
30-Jul-17,68,0.37,$24.85 
31-Jul-17,58,0.4,$23.45 
1-Aug-17,56,0.42,$23.49 
2-Aug-17,49,0.44,$21.38 
3-Aug-17,64,0.45,$29.02 
4-Aug-17,51,0.39,$19.82 
5-Aug-17,62,0.48,$29.83 
6-Aug-17,71,0.4,$28.57 
7-Aug-17,63,0.45,$28.56 
8-Aug-17,50,0.41,$20.66 
9-Aug-17,49,0.43,$20.96 
10-Aug-17,56,0.43,$24.18 
11-Aug-17,37,0.45,$16.63 
12-Aug-17,42,0.48,$20.12 
13-Aug-17,59,0.51,$30.01 
14-Aug-17,62,0.49,$30.48 
15-Aug-17,56,0.56,$31.10 
16-Aug-17,54,0.57,$30.87 
17-Aug-17,54,0.51,$27.77 
18-Aug-17,49,0.57,$27.75 
19-Aug-17,69,0.52,$35.92 
20-Aug-17,85,0.47,$40.33 
21-Aug-17,80,0.47,$37.53 
22-Aug-17,77,0.5,$38.51 
23-Aug-17,71,0.49,$35.03 
24-Aug-17,60,0.57,$33.92 
25-Aug-17,71,0.55,$38.74 
26-Aug-17,63,0.51,$32.03 
27-Aug-17,65,0.53,$34.68 
28-Aug-17,60,0.55,$32.80 
29-Aug-17,55,0.54,$29.85 
30-Aug-17,47,0.54,$25.58 
31-Aug-17,40,0.49,$19.45 
1-Sep-17,42,0.44,$18.30 
2-Sep-17,43,0.44,$19.01 
3-Sep-17,70,0.43,$30.05 
4-Sep-17,65,0.47,$30.37 
5-Sep-17,57,0.46,$26.44 
6-Sep-17,28,0.47,$13.09 
7-Sep-17,25,0.48,$11.92 
8-Sep-17,20,0.46,$9.10 
9-Sep-17,28,0.47,$13.29 
10-Sep-17,40,0.48,$19.28 
11-Sep-17,48,0.43,$20.77 
12-Sep-17,81,0.42,$34.30 
13-Sep-17,77,0.46,$35.14 
14-Sep-17,76,0.49,$37.00 
15-Sep-17,72,0.5,$35.81 
16-Sep-17,85,0.48,$41.13 
17-Sep-17,69,0.53,$36.60 
18-Sep-17,59,0.57,$33.40 
19-Sep-17,66,0.55,$36.25 
20-Sep-17,59,0.51,$30.20 
21-Sep-17,71,0.48,$34.22 
22-Sep-17,79,0.36,$28.12 
23-Sep-17,82,0.37,$30.06 
24-Sep-17,91,0.38,$34.29 
25-Sep-17,76,0.41,$31.22 
26-Sep-17,72,0.39,$28.43 
27-Sep-17,70,0.42,$29.23 
28-Sep-17,48,0.39,$18.55 
29-Sep-17,53,0.43,$23.03 
30-Sep-17,99,0.41,$40.39 
1-Oct-17,101,0.47,$47.61 
2-Oct-17,93,0.42,$38.99 
3-Oct-17,107,0.37,$39.41 
4-Oct-17,112,0.34,$37.88 
5-Oct-17,110,0.33,$36.60 
6-Oct-17,125,0.36,$44.42 
7-Oct-17,130,0.34,$44.82 
8-Oct-17,160,0.34,$54.77 
9-Oct-17,196,0.32,$63.45 
10-Oct-17,161,0.33,$53.35 
11-Oct-17,160,0.32,$50.44 
12-Oct-17,149,0.33,$48.68 
13-Oct-17,142,0.3,$42.35 
14-Oct-17,167,0.3,$50.48 
15-Oct-17,189,0.32,$61.13 
16-Oct-17,159,0.32,$50.54 
17-Oct-17,107,0.3,$32.31 
18-Oct-17,72,0.35,$24.89 
19-Oct-17,177,0.32,$56.11 
20-Oct-17,178,0.31,$55.01 
21-Oct-17,200,0.29,$58.61 
22-Oct-17,226,0.3,$68.53 
23-Oct-17,210,0.31,$64.97 
24-Oct-17,195,0.3,$57.69 
25-Oct-17,188,0.3,$56.41 
26-Oct-17,194,0.31,$60.96 
27-Oct-17,227,0.28,$64.30 
28-Oct-17,219,0.29,$63.35 
29-Oct-17,218,0.3,$65.16 
30-Oct-17,150,0.3,$44.99 
31-Oct-17,85,0.29,$24.89 
1-Nov-17,132,0.29,$38.23 
2-Nov-17,150,0.29,$43.70 
3-Nov-17,108,0.29,$31.63 
4-Nov-17,107,0.3,$32.00 
5-Nov-17,117,0.29,$33.82 
6-Nov-17,53,0.36,$19.17 
7-Nov-17,44,0.34,$14.80 
8-Nov-17,57,0.28,$16.05 
9-Nov-17,82,0.33,$27.37 
10-Nov-17,114,0.29,$33.30 
11-Nov-17,138,0.26,$36.21 
12-Nov-17,158,0.26,$41.00 
13-Nov-17,191,0.28,$53.61 
14-Nov-17,195,0.28,$54.91 
15-Nov-17,198,0.29,$57.34 
16-Nov-17,167,0.28,$46.73 
17-Nov-17,165,0.28,$46.03 
18-Nov-17,208,0.24,$50.09 
19-Nov-17,205,0.22,$44.50 
20-Nov-17,182,0.22,$40.24 
21-Nov-17,140,0.27,$37.52 
22-Nov-17,190,0.23,$43.78 
23-Nov-17,177,0.24,$42.37 
24-Nov-17,277,0.22,$60.52 
25-Nov-17,241,0.22,$52.11 
26-Nov-17,276,0.2,$54.50 
27-Nov-17,217,0.22,$47.75 
28-Nov-17,244,0.23,$56.83 
29-Nov-17,246,0.23,$56.53 
30-Nov-17,201,0.22,$44.04 
1-Dec-17,216,0.19,$40.10 
2-Dec-17,263,0.24,$62.30 
3-Dec-17,318,0.23,$73.13 
4-Dec-17,273,0.24,$65.70 
5-Dec-17,292,0.24,$71.50 
6-Dec-17,248,0.25,$60.98 
7-Dec-17,230,0.23,$53.62 
8-Dec-17,225,0.26,$57.94 
9-Dec-17,273,0.25,$67.48 
10-Dec-17,271,0.23,$62.75 
11-Dec-17,158,0.25,$38.96 
12-Dec-17,160,0.26,$40.85 
13-Dec-17,223,0.25,$55.69 
14-Dec-17,167,0.3,$49.42 
15-Dec-17,139,0.28,$39.31 
16-Dec-17,166,0.29,$48.71 
17-Dec-17,168,0.28,$47.86 
18-Dec-17,191,0.28,$53.41 
19-Dec-17,147,0.29,$42.60 
20-Dec-17,145,0.29,$41.70 
21-Dec-17,130,0.29,$38.28 
22-Dec-17,104,0.27,$28.04 
23-Dec-17,68,0.27,$18.42 
24-Dec-17,40,0.24,$9.62 
25-Dec-17,71,0.2,$14.26 
26-Dec-17,107,0.23,$24.70 
27-Dec-17,100,0.22,$21.53 
28-Dec-17,100,0.24,$24.38 
29-Dec-17,88,0.29,$25.58 
30-Dec-17,99,0.23,$22.59 
31-Dec-17,66,0.22,$14.21 
1-Jan-18,120,0.24,$28.53 
2-Jan-18,87,0.24,$20.50 
3-Jan-18,54,0.21,$11.35 
4-Jan-18,50,0.21,$10.43 
5-Jan-18,44,0.22,$9.77 
6-Jan-18,47,0.2,$9.25 
7-Jan-18,49,0.21,$10.48 
8-Jan-18,41,0.22,$8.89 
9-Jan-18,47,0.26,$12.01 
10-Jan-18,42,0.26,$10.81 
11-Jan-18,40,0.25,$9.87 
12-Jan-18,43,0.25,$10.63 
13-Jan-18,45,0.2,$9.13 
14-Jan-18,54,0.25,$13.62 
15-Jan-18,57,0.26,$14.63 
16-Jan-18,37,0.24,$8.91 
17-Jan-18,51,0.25,$12.79 
18-Jan-18,45,0.26,$11.56 
19-Jan-18,43,0.24,$10.50 
20-Jan-18,48,0.25,$12.07 
21-Jan-18,75,0.28,$21.11 
22-Jan-18,57,0.22,$12.55 
23-Jan-18,48,0.26,$12.44 
24-Jan-18,62,0.25,$15.36 
25-Jan-18,66,0.26,$16.98 
26-Jan-18,52,0.26,$13.28 
27-Jan-18,82,0.25,$20.80 
28-Jan-18,75,0.23,$17.48 
29-Jan-18,45,0.26,$11.59 
30-Jan-18,48,0.26,$12.26 
31-Jan-18,63,0.26,$16.44 
1-Feb-18,39,0.32,$12.57 
2-Feb-18,56,0.27,$15.05 
3-Feb-18,75,0.33,$25.00 
4-Feb-18,65,0.31,$20.12 
5-Feb-18,73,0.29,$21.15 
6-Feb-18,66,0.3,$19.73 
7-Feb-18,66,0.25,$16.37 
8-Feb-18,52,0.29,$15.05 
9-Feb-18,55,0.3,$16.41 
10-Feb-18,52,0.38,$19.63 
11-Feb-18,70,0.33,$23.42 
